packet_count,byte_count,duration_sec,req_rate,resp_rate,src_entropy,dst_entropy,proto_code,label
59.934283,23600.632645,4.609007,11.664106,143.447189,2.923988,4.061858,1,0.0
47.234714,17535.107785,0.559367,79.984767,1252.453345,3.814707,2.730958,2,0.0
62.953771,19316.043648,3.995295,17.34204,174.271058,3.444564,3.109799,0,0.0
80.460597,39904.801224,0.775928,105.321876,1791.621886,4.260313,2.054783,0,0.0
45.316933,17298.943482,1.316294,48.866357,316.660273,2.931481,2.752615,0,0.0
45.317261,12288.592693,3.221318,14.025209,166.544949,3.855626,3.256578,0,0.0
81.584256,18808.005462,0.850517,143.132495,638.010766,3.715504,2.14044,0,0.0
65.348695,16066.482477,3.907135,22.603227,202.167509,3.090603,3.227739,0,0.0
40.610512,11118.643261,4.069181,7.070951,96.633323,2.773202,4.317777,1,0.0
60.851201,15103.536531,1.916391,45.425727,118.617327,3.80328,2.263483,0,0.0
40.731646,10426.08383,0.512813,48.956701,753.211062,3.977195,3.911102,0,0.0
40.685405,11616.8447,1.176655,45.5537,227.114858,3.131255,3.024178,0,0.0
54.839245,13820.152229,2.419059,19.963431,213.970547,3.789665,3.637934,0,0.0
11.734395,5503.778965,8.446327,1.914406,8.331357,3.290262,2.650591,0,0.0
15.501643,3473.455143,2.498331,8.488516,23.628676,3.926414,2.398731,1,0.0
38.754249,13848.963447,1.101679,45.939099,555.998958,2.898431,2.401157,0,0.0
29.743378,9610.651855,2.510275,15.285123,73.075763,4.28043,2.17623,1,0.0
56.284947,27844.927744,2.052994,22.061108,589.74515,3.074819,2.464117,0,0.0
31.839518,7438.083107,3.52685,5.244393,44.649464,3.235572,3.660548,0,0.0
21.753926,6947.26157,0.726294,27.046021,341.629361,2.616184,4.204227,0,0.0
79.312975,38930.070457,3.362817,15.885263,437.20308,2.723024,4.035314,1,0.0
45.484474,20907.035705,2.058572,26.402633,309.823506,3.531724,3.712836,0,0.0
51.350564,22857.246343,7.093243,6.125224,71.577267,3.035185,2.27608,1,0.0
21.505036,5964.870151,1.336712,23.739629,82.579142,4.17096,2.722969,0,0.0
39.112346,9827.61341,2.502727,17.830985,44.480681,2.529387,2.774517,1,0.0
52.218452,20918.344483,5.877322,11.74989,78.863413,3.258188,2.624892,0,0.0
26.980128,12918.43076,0.716306,23.824451,651.53418,3.174691,3.287514,1,0.0
57.51396,21109.283762,6.036508,12.976848,166.217053,2.538655,3.338885,0,0.0
37.987226,14111.639401,2.828772,19.10603,223.73008,2.748737,2.892215,2,0.0
44.166125,12542.902496,0.640495,68.064044,795.909129,3.327285,2.884473,0,0.0
37.965868,16357.513633,1.216105,34.536375,558.715536,3.485729,4.071389,0,0.0
87.045564,22293.511296,2.963182,37.154681,275.3557,3.308579,3.973232,0,0.0
49.730056,14774.987019,0.639452,52.482078,471.621539,3.561875,2.76949,1,0.0
28.845781,9450.770239,2.245363,12.879786,194.826086,3.690263,4.284471,0,0.0
66.450898,23409.529335,1.348938,44.269606,639.137036,2.519848,4.382038,1,0.0
25.583127,6977.105091,2.439992,6.77718,92.697494,3.42819,2.816856,0,0.0
54.177272,12701.918143,0.593642,79.173324,308.957587,4.426998,2.886062,0,0.0
10.806598,4140.937016,4.604226,1.33356,25.076643,3.538065,3.264085,0,0.0
23.436279,6716.583658,7.760389,1.587946,24.592483,3.855085,4.352802,2,0.0
53.937225,20192.557912,7.439671,4.604922,121.004755,3.123728,4.190799,1,0.0
64.769332,15953.257288,3.269805,28.981844,155.47267,4.047983,2.25642,2,0.0
53.427366,18397.287566,0.778722,72.007173,595.727577,4.045843,2.981827,0,0.0
47.687034,17156.69004,3.339811,20.929538,252.084086,3.542592,3.383428,1,0.0
43.977926,9479.312719,0.549788,74.591096,248.778114,4.452028,3.257831,1,0.0
20.42956,6148.915247,0.544744,30.445585,303.661469,2.7511,2.484658,0,0.0
35.603116,8556.29756,1.281972,27.942731,77.96273,2.533895,4.147042,1,0.0
40.787225,8932.911662,1.841375,20.810572,192.089594,4.040316,3.692352,2,0.0
71.142445,35356.946179,3.442898,12.515174,479.823935,4.114311,4.094771,1,0.0
56.872366,16874.380894,2.799571,23.175508,127.791727,2.740414,4.146911,1,0.0
14.739197,6528.909053,1.68083,6.278938,172.206877,3.031166,3.87089,0,0.0
56.481679,15611.095424,1.139382,55.500429,297.165239,2.535105,3.098027,0,0.0
42.298354,17107.603977,12.203058,3.986838,65.091871,3.086617,3.526367,2,0.0
36.46156,15608.040115,1.610884,14.758263,389.10019,4.046284,2.400914,0,0.0
62.233526,23567.314831,1.700724,20.541113,584.723182,3.535921,3.684114,1,0.0
70.61999,24114.80987,0.857354,105.495997,301.529136,3.196191,2.448133,1,0.0
68.625602,22203.969722,3.667633,17.95896,293.695705,3.243479,3.734874,1,0.0
33.21565,10119.49573,2.866264,6.46827,137.927508,2.502707,2.573995,2,0.0
43.815752,20981.55617,0.998897,65.571014,466.095727,3.099601,2.293878,0,0.0
56.625269,25435.267854,0.671946,47.004475,1634.338936,3.792917,2.413211,0,0.0
69.510903,34026.14797,2.781992,29.859176,260.038437,4.448389,2.00498,0,0.0
40.416515,9590.401237,2.62559,22.838725,164.041744,4.194122,3.796849,0,0.0
46.28682,19406.223576,1.138372,30.05547,247.241429,2.54719,3.831003,0,0.0
27.873301,13421.053767,6.526309,2.742992,78.448453,4.297121,3.287333,0,0.0
26.075868,6632.916331,0.827529,19.580172,253.508437,4.066397,2.403407,1,0.0
66.250516,14571.726906,1.632447,32.599769,123.730959,4.060752,2.208886,2,0.0
77.124801,32572.594797,6.251137,7.415537,102.523805,3.415992,2.047822,0,0.0
48.559798,18080.848939,1.588514,36.443559,119.469816,3.296011,2.41437,0,0.0
70.070658,31710.380474,2.53513,15.541671,359.625034,3.105831,4.227139,2,0.0
57.232721,13846.41011,1.513649,38.167362,201.712467,2.63139,2.603842,0,0.0
37.097605,16270.274741,1.141003,48.662314,483.890184,2.956471,2.885678,0,0.0
57.227912,14907.195587,8.767541,8.576609,37.218102,2.993207,2.263364,0,0.0
80.760731,20117.238356,1.553009,57.994467,284.939824,3.468154,2.555903,0,0.0
49.283479,12285.372855,4.990505,7.962117,97.799711,3.994889,3.298061,0,0.0
81.292873,36124.310436,1.022612,89.344497,421.282297,3.44762,3.519382,2,0.0
5.0,1997.795831,0.97932,5.243645,94.075417,2.615689,2.613381,0,0.0
66.43805,23713.044084,0.563258,109.234425,1856.202826,4.41558,2.14433,0,0.0
51.740941,15918.056385,2.609192,12.507149,223.972299,4.385449,2.977582,0,0.0
44.019853,20388.242253,1.419398,43.002815,484.481571,4.070379,2.585508,0,0.0
51.835216,16469.786124,4.495476,10.951519,167.399202,4.482656,2.548885,1,0.0
10.248622,4560.429964,1.781906,3.995117,44.565595,3.588965,4.399657,1,0.0
45.606562,15129.542511,7.396165,5.350817,26.91748,4.425537,3.540751,1,0.0
57.142251,17890.286294,0.910424,57.374818,384.764622,2.65121,3.392196,0,0.0
79.557881,26954.523163,4.559371,23.164621,247.017489,3.231361,3.039438,2,0.0
39.634596,11510.41618,3.497555,13.979426,37.473877,2.950763,3.072361,1,0.0
33.830128,14353.541883,3.447384,12.456038,138.699112,2.891666,3.352263,1,0.0
39.964859,14020.316697,4.225865,4.832926,165.281451,2.781606,3.741075,0,0.0
68.308042,18420.206855,3.362784,18.609783,242.26533,3.744827,3.755365,0,0.0
56.575022,26583.039873,2.468178,22.494155,332.348407,4.062644,2.429235,0,0.0
39.404796,12419.105756,0.781388,26.182468,199.395935,3.656597,3.250282,1,0.0
60.265349,21880.29054,0.566134,80.882657,1671.743716,2.793925,3.029895,0,0.0
51.941551,24513.380408,5.572767,11.746662,149.378825,4.122248,4.176317,0,0.0
69.3729,26866.139947,2.417615,18.281712,162.215066,3.771909,3.578547,1,0.0
35.958938,8452.846448,3.684545,10.104003,31.554211,3.276331,3.33126,1,0.0
43.446757,20939.148801,1.813717,17.132335,535.510276,3.848261,2.288487,2,0.0
42.157837,16370.411511,0.749558,28.803501,803.016176,3.01981,3.514095,0,0.0
20.729701,6228.688188,0.767487,20.01972,350.366147,3.190384,2.29301,1,0.0
55.922406,13521.009907,2.813958,29.330367,216.988838,4.334972,2.843016,0,0.0
55.221105,24198.305699,1.625311,44.220644,489.395401,3.081009,2.357105,0,0.0
50.102269,19340.569456,0.947599,77.171963,626.545363,3.439977,3.730184,0,0.0
45.308257,16312.709196,1.852952,24.15494,239.609322,4.280282,2.51563,0,0.0
21.692585,10155.769326,0.632726,20.904392,363.998182,3.915443,2.979648,0,0.0
41.587094,18156.058507,2.244411,19.41783,221.520302,2.624406,4.239187,1,0.0
43.14571,10592.378031,1.126666,36.547923,385.041327,2.794606,2.510791,0,0.0
33.954455,9966.196764,3.694615,12.354986,91.922298,2.515683,3.269513,1,0.0
46.774286,12841.727764,1.243177,22.502741,472.080017,3.761844,3.048179,0,0.0
58.081017,24578.950637,1.714747,33.473189,397.552594,3.395347,2.04531,0,0.0
87.723718,18427.22056,0.523377,108.955241,1207.066685,2.76855,3.981895,0,0.0
53.491556,19843.597093,0.65041,67.823632,1075.524672,4.415868,2.172615,0,0.0
55.151008,23645.311044,1.496785,45.592046,531.865065,3.559319,3.185638,0,0.0
48.511082,22462.071164,1.807618,26.193423,473.510027,2.983787,3.401696,0,0.0
